Model,frame,Prompt_Style,Sample_Size,ev_a,p_a,ev_b,p_b,y_a,y_b,x_a,x_b,ratio_a_False,ratio_a_True,n_valid_False,n_valid_True,average_first_option_rate,n_valid_total
anthropic/claude-haiku-4.5,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.7,0.8,10,10,0.45,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,0.1,0.1,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,0,4000,0.8,3500,1,0,3500,5000,3500,1,0.5,10,10,0.75,20
anthropic/claude-haiku-4.5,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0.2,1,10,10,0.1,20
anthropic/claude-haiku-4.5,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,0.9,0,10,10,0.95,20
anthropic/claude-haiku-4.5,gain,no_explanation,0,4000,0.8,3500,1,0,3500,5000,3500,1,0.1,10,10,0.95,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0.7,0.1,10,10,0.8,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,0,0,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,0,4000,0.8,3500,1,0,3500,5000,3500,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0,10,10,0.5,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,0.8,10,10,0.1,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.5,0.1,10,10,0.7,20
anthropic/claude-haiku-4.5,loss,no_explanation,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0.9,10,10,0.05,20
anthropic/claude-haiku-4.5,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,1,10,10,0,20
anthropic/claude-haiku-4.5,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,0,-4000,0.8,-3500,1,0,-3500,-5000,-3500,0,0,10,10,0.5,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0,0.333333333,10,9,0.333333333,19
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0,0.1,10,10,0.45,20
deepseek/deepseek-chat,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0,1,10,10,0,20
deepseek/deepseek-chat,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,0.8,0,10,10,0.9,20
deepseek/deepseek-chat,gain,math_reasoning_one,0,4000,0.8,3500,1,0,3500,5000,3500,1,0,10,9,1,19
deepseek/deepseek-chat,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,0,0.9,10,10,0.05,20
deepseek/deepseek-chat,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,0.3,0.1,10,10,0.6,20
deepseek/deepseek-chat,gain,no_explanation,0,4000,0.8,3500,1,0,3500,5000,3500,0.4,0,10,10,0.7,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,0,0.1,10,10,0.45,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,0,0,10,10,0.5,20
