Model,frame,Prompt_Style,Sample_Size,ev_a,p_a,ev_b,p_b,y_a,y_b,x_a,x_b,ratio_a_False,ratio_a_True,n_valid_False,n_valid_True,average_first_option_rate,n_valid_total
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,0,0.7,0.1,0.8,0.2,0,0,7,4,0.0,0.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,0,33.3,0.33,32.64,0.34,0,0,100,96,0.0,0.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,0.0,1.0,10.0,10.0,0.0,20.0
Qwen/Qwen2.5-7B-Instruct,gain,no_explanation,0,0.7,0.1,0.8,0.2,0,0,7,4,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,gain,no_explanation,0,33.3,0.33,32.64,0.34,0,0,100,96,0.2,0.0,10.0,10.0,0.6,20.0
Qwen/Qwen2.5-7B-Instruct,gain,no_explanation,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,0.7,1.0,10.0,10.0,0.35,20.0
Qwen/Qwen2.5-7B-Instruct,gain,one_sentence_reasoning,0,0.7,0.1,0.8,0.2,0,0,7,4,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,gain,one_sentence_reasoning,0,33.3,0.33,32.64,0.34,0,0,100,96,1.0,0.8,10.0,10.0,0.6,20.0
Qwen/Qwen2.5-7B-Instruct,gain,one_sentence_reasoning,0,4000.0,0.8,3500.0,1.0,0,3500,5000,3500,0.0,1.0,10.0,10.0,0.0,20.0
Qwen/Qwen2.5-7B-Instruct,loss,math_reasoning_one,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,0.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,loss,math_reasoning_one,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,0.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,loss,math_reasoning_one,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,0.0,0.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,loss,no_explanation,0,-4000.0,0.8,-3500.0,1.0,0,-3500,-5000,-3500,0.0,1.0,10.0,10.0,0.0,20.0
Qwen/Qwen2.5-7B-Instruct,loss,no_explanation,0,-33.3,0.33,-32.64,0.34,0,0,-100,-96,0.0,0.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,loss,no_explanation,0,-0.7,0.1,-0.8,0.2,0,0,-7,-4,1.0,0.5,10.0,10.0,0.75,20.0
