Model,frame,Prompt_Style,Sample_Size,ev_a,p_a,ev_b,p_b,y_a,y_b,x_a,x_b,ratio_a_False,ratio_a_True,n_valid_False,n_valid_True,average_first_option_rate,n_valid_total
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,0.4,0.1,0.35,0.05,0.0,0.0,4.0,7.0,0.0,0.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,0.8,0.2,0.7,0.1,0.0,0.0,4.0,7.0,0.7,1.0,20.0,20.0,0.35,40.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,1.6,0.4,0.35,0.05,0.0,0.0,4.0,7.0,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,30.0,0.3,28.8,0.3,0.0,0.0,100.0,96.0,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,35.0,0.35,33.6,0.35,0.0,0.0,100.0,96.0,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,35.0,0.35,38.4,0.4,0.0,0.0,100.0,96.0,1.0,1.0,10.0,10.0,0.5,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,40.0,0.4,33.6,0.35,0.0,0.0,100.0,96.0,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,3500.0,1.0,2750.0,0.55,0.0,0.0,3500.0,5000.0,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,3500.0,1.0,3500.0,0.7,0.0,0.0,3500.0,5000.0,1.0,0.0,10.0,10.0,1.0,20.0
Qwen/Qwen2.5-7B-Instruct,gain,math_reasoning_one,20.0,3500.0,1.0,3750.0,0.75,0.0,0.0,3500.0,5000.0,0.6,0.0,10.0,10.0,0.8,20.0
