Model,sigma,gamma,beta_gain,beta_loss,loss_aversion_ratio,mse,mae,corr,success,n_trials,sigma_lb,sigma_ub,gamma_lb,gamma_ub,beta_gain_lb,beta_gain_ub,beta_loss_lb,beta_loss_ub
Qwen/Qwen2.5-7B-Instruct,0.8376606978978011,0.7501279787171303,57.06421988537852,0.01,0.00017524115847174291,0.030054459754949612,0.10834886492393246,0.642709952243452,True,18,0.3002838205268857,0.8976637184389425,0.35069940214179185,0.7800507057511349,4.86325678075263,140.19305146513057,0.01,16.18858485461922
Qwen/Qwen2.5-Math-7B-Instruct,0.8548184226380923,0.8216400650983543,1000.0,403.42582782995754,0.40342582782995756,0.0014882780213730895,0.027560597462381237,0.9964397661175111,True,18,0.8041808334869148,0.9611722467912743,0.8123936543428165,0.9848926881601545,999.9999925578793,1000.0,403.42564453472045,403.4260460320004
Qwen/Qwen3-30B-A3B-Instruct-2507,0.9394444472886072,0.8513187477652018,55.80323518900025,0.01,0.00017920107976053632,0.04074651170870658,0.1463263202355236,0.5705221551860141,True,18,0.8782798683611439,2.056004785226974,0.8076580397938063,3.404557446903866,15.857759686107034,212.96932199683482,0.01,17.229587885927945
Qwen/Qwen3-30B-A3B-Thinking-2507,0.8662095036264158,0.8102490804888471,726.1207826220564,1000.0,1.3771813504482724,0.003864008713795287,0.03860854829432874,0.9923209180170957,True,17,0.8198882049452588,0.924742447525217,0.8043994578953313,0.9013109871656896,726.12074378374,726.1207936666528,999.9999890745331,1000.0
allenai/Olmo-3-32B-Think,1.33190045828772,1.158458497421867,1000.0,1000.0,1.0,5.868803580607691e-06,0.0018901020405531978,0.9999953724763244,True,18,1.2763489618211548,1.3512312726499895,1.135302878687618,1.220368739192676,999.9999546097714,1000.0,999.9999548199366,1000.0
allenai/Olmo-3-32B-Think-DPO,1.328619106023397,1.15710711744649,1000.0,1000.0,1.0,5.385403779469604e-06,0.0017562750391620073,0.9999953786573502,True,17,1.2668493990988552,1.3426967918575399,1.1402675578749066,1.225920137992634,999.9999121362129,1000.0,999.9999311474766,1000.0
allenai/Olmo-3-32B-Think-SFT,1.3309165435187302,1.1576815292569462,1000.0,1000.0,1.0,5.86872866176485e-06,0.001889328720138948,0.9999953667518995,True,18,1.2753568675962963,1.350225431801232,1.134534420859874,1.2194938971500857,999.9999544233442,1000.0,999.9999548529472,1000.0
allenai/Olmo-3-7B-Instruct,0.8768598642456236,0.812422934000715,215.06058954352451,121.0457068487076,0.5628446713813646,0.04143569326833617,0.17731640137732607,0.7282987095402662,True,18,0.8590604968242642,0.8931934813090994,0.8035289539060467,0.823228817444593,215.0605768912883,215.06060044429574,121.04568961721202,121.04572410387586
allenai/Olmo-3-7B-Instruct-DPO,0.8791147663649905,0.8072346422743618,319.658187672654,142.0711964956432,0.4444472313693126,0.03026507635002614,0.14420241664125807,0.8246995089375784,True,18,0.8657327186715621,0.8901736775696705,0.8010450082917925,0.8156464911632798,319.658182422609,319.65819193041233,142.07118767695246,142.07120799520547
allenai/Olmo-3-7B-Instruct-SFT,0.8777431235753614,0.8034536783923776,309.16521376163126,130.12547923860598,0.4208930159229806,0.02947686258992959,0.14157140167511514,0.8012512127091976,True,18,0.8638793171146484,0.8884788036412613,0.7976128594889603,0.8109261592166755,309.16520906722735,309.16521753814226,130.12547180485547,130.12548804779613
allenai/Olmo-3-7B-Think,1.331253896189047,1.1579208691374545,1000.0,1000.0,1.0,0.0008739243515696591,0.008834480451938416,0.9983588028244446,True,18,1.2756994907216581,1.3503827247329203,1.1349652549199243,1.2197978747665836,999.9999547006805,1000.0,999.9999547862025,1000.0
allenai/Olmo-3-7B-Think-DPO,1.33190045828772,1.158458497421867,1000.0,1000.0,1.0,5.868803580607691e-06,0.0018901020405531978,0.9999953724763244,True,18,1.2763488492872002,1.3453910254189807,1.1423156895542523,1.2203685529967676,999.9999546097714,1000.0,999.9999548199366,1000.0
allenai/Olmo-3-7B-Think-SFT,1.273922609363448,1.1332735973999393,1000.0,509.3242065390546,0.5093242065390546,0.000692310659486826,0.01591788900442019,0.9985400773278093,True,18,0.9280819798690622,1.7103067416370548,0.8513231856632995,1.5789368044233325,999.9992084233862,1000.0,509.3045526091634,509.327440018325
meta-llama/Llama-3.2-3B-Instruct,0.7563399544469649,0.7046529087403537,0.01,1.7433836874693844,174.33836874693844,0.0007694051746240224,0.014462410998657131,0.44729166630179773,True,18,0.0559704409285425,22.622363133040004,0.07744608145694391,4.933557282570501,0.01,854.4091659120606,0.11075856465947603,1000.0
