Model,sigma,gamma,beta_gain,beta_loss,loss_aversion_ratio,mse,mae,corr,success,n_trials,sigma_lb,sigma_ub,gamma_lb,gamma_ub,beta_gain_lb,beta_gain_ub,beta_loss_lb,beta_loss_ub
Qwen/Qwen2.5-7B-Instruct,48.47232199001254,0.6570733272227197,0.01,2.452399037281333,245.2399037281333,0.07006509543924433,0.19958157162873916,0.4555137497857103,True,138,23.440966492408887,198.1389063881035,0.47131480438044127,0.9011782229738808,0.01,0.2903449140744235,2.0732485275703616,3.2778329418389625
Qwen/Qwen2.5-Math-7B-Instruct,0.5519040943450463,0.8769250240023102,7.079312478522968,0.8225211426500324,0.11618658522919781,0.027499538997575162,0.12879386915359087,0.5352163311323291,True,137,0.20497393197469313,0.7689284493932296,0.7625498480919397,1.484420753779118,4.768053084850426,9.8750171791773,0.01,2.024602947478925
Qwen/Qwen3-30B-A3B-Instruct-2507,1.0967987969494715,0.826752874454333,16.685448704921743,2.836954398805657,0.17002565822331372,0.04688501674412286,0.1644139443033257,0.49765387093179797,True,138,1.0192476581422307,1.1799640628383274,0.7803786475418298,0.8858321855093255,13.79395835740924,20.18695026585141,1.040989111896862,4.8437484231405765
Qwen/Qwen3-30B-A3B-Thinking-2507,0.999608076030578,0.8774366244949907,668.0885213757523,585.2967183434927,0.8760765970626592,0.024624266545153116,0.06730762293365115,0.943842791753928,True,67,0.9919575110478697,1.004603593875994,0.8724110276957978,0.8816655725388066,668.0885205983874,668.088522330686,585.2967174834853,585.296719325928
allenai/Olmo-3-32B-Think,0.952658356271384,1.0719008324223371,1000.0,234.58076588824693,0.23458076588824692,0.03180257015341681,0.058521670267092346,0.9321502842837198,True,46,0.9122682839889008,0.9967614958969419,0.9976627642888025,1.3870074338620948,999.9999145528237,1000.0,234.5754872259004,234.5812716516623
allenai/Olmo-3-32B-Think-DPO,0.9563861085296561,0.8902487914376583,1000.0,562.7583507243874,0.5627583507243874,0.0031851341505211546,0.02080346176394459,0.9935264174528868,True,42,0.9278134103692144,1.422870474002937,0.8801713196900501,1.4523706528044467,999.9987417512291,1000.0,562.7446619132138,562.7604706205922
allenai/Olmo-3-32B-Think-SFT,0.8845356660719816,0.9495963199924655,417.7822048928998,354.65114355834845,0.848890018303352,0.02283137407654098,0.04728881948376263,0.9539113251205869,True,53,0.7791974922099805,0.9204650573341925,0.9202777315979407,1.1159231714028837,417.7817327796272,417.7825083331149,354.65020065099935,354.6514902611283
allenai/Olmo-3-7B-Instruct,1.2466375612289138,0.9917034901225714,4.801698856982839,1.2910747658007982,0.2688787456804504,0.020334605494322363,0.11121492863292592,0.43746001616270064,True,138,1.0769632829365867,1.656600917380484,0.7956017966211655,2.07122078377189,3.09819527882899,7.067077106297821,0.01,2.8183771148481047
allenai/Olmo-3-7B-Instruct-DPO,1.4984438564964124,1.0495227417391686,2.861606950822476,0.06510568182401612,0.022751441040952045,0.019715896682033156,0.1105932473088158,0.36717474371513964,True,138,1.1903083885611672,4.516833180263365,0.7467767271592917,3.5220575818172146,1.4022406785071124,4.914394999914988,0.01,1.2618978951401807
allenai/Olmo-3-7B-Instruct-SFT,2.4027236821772844,1.255591652404119,1.4063387489148678,0.01,0.007110662354796104,0.021373929805834906,0.12061634226532547,0.3471690410756695,True,138,1.4536480084957175,54.54403528198935,0.6268373110743709,5.879761582623469,0.6155201209239102,3.474330539873877,0.01,0.7649698646862847
allenai/Olmo-3-7B-Think,0.7283436592173855,0.7055741668083862,1000.0,466.1012194049609,0.4661012194049609,0.0014136340086981886,0.026290473871837076,0.9965410629919573,True,16,0.47373579633909557,1.1149551827009463,0.5527609112016239,0.9737347854087562,999.9995531341361,1000.0,466.10049155032533,466.1020998718322
allenai/Olmo-3-7B-Think-DPO,0.9791600185696117,0.8574831092908354,1000.0,824.0713624572045,0.8240713624572045,0.015085405878032311,0.07948656777642929,0.9621110385563609,True,22,0.9726011178686477,1.1785447551370598,0.8540218733938788,0.9940917709375012,999.9998411296732,1000.0,824.0711918016491,824.0715075021479
allenai/Olmo-3-7B-Think-SFT,0.7768521187546813,1.0407188520272816,21.67183663924004,10.601541912518671,0.4891852079266334,0.09690633501174879,0.2446703251635376,0.6074584437732246,True,48,0.6844994076155283,0.9156711212485197,0.8899579080245925,1.6136976736624835,16.482107819004867,30.50036588508716,8.02336533355032,15.955408401105867
meta-llama/Llama-3.2-3B-Instruct,0.8255422945720511,1.0620288747470252,0.16627860885471932,0.01,0.060140026843363746,0.0002500492865177686,0.004581550253074348,0.12689473260346273,True,138,0.01,17.861604412812902,0.14737403956481981,6.306795771753275,0.01,2.655425998433409,0.01,2.097210988904268
