Model,n_trials,sigma_m1,gamma_m1,lambda_m1,beta_m1,mse_m1,mae_m1,corr_m1,sigma_m2,gamma_m2,lambda_m2,beta_m2,mse_m2,success_m2,mae_m2,corr_m2,sigma_m3,gamma_m3,lambda_m3,beta_m3,mse_m3,success_m3,mae_m3,corr_m3,lam_m4,kappa_m4,alpha_m4,mse_m4,success_m4,mae_m4,corr_m4
Qwen/Qwen2.5-7B-Instruct,18,1.0,1.0,1.0,0.01,0.05528613239580323,0.15003274602942435,-0.12666962775999313,0.01,47.91001036045379,311.0485579940489,1.0,0.021476509743366436,True,0.10720690872309617,0.7857686087322701,0.5804099593480174,3.588023659748355,0.8024632004199328,7.932916365788674,0.016849232243881133,True,0.09535263003882181,0.8251652315354003,0.01,64.7614862655298,136.69776126804857,0.05532953588063674,True,0.15022569824974644,-0.18754000182474098
Qwen/Qwen2.5-Math-7B-Instruct,18,1.0,1.0,1.0,605.1441665727815,0.006441304405162084,0.06291994186721012,0.9913224267798196,327.0767039933955,1.3032569417168083,2.467097332664721,1.0,0.13031544568086134,True,0.31118073407383323,0.6598934046008519,1.1143831051906525,1.0318094232726944,0.34429910813142317,1000.0,0.0038259873616642622,True,0.04192826445402821,0.9941592613408562,0.01,123.8948250341456,0.0,0.1240943835090538,True,0.2793272154249451,0.6097953369673922
Qwen/Qwen3-30B-A3B-Instruct-2507,18,1.0,1.0,1.0,4.641268773109796,0.06449670073362429,0.17297268959137815,0.2757908269537245,108.26689057292123,1.4208071507244626,0.01,1.0,0.04877059384521807,True,0.15587861322775917,0.5196824142604736,0.9444994604720955,0.8627618995191106,0.01,47.749725263137016,0.04117972200754087,True,0.1464488905275466,0.5684491209060234,0.01,23.715655824612437,0.0,0.06532043449772514,True,0.18325585087109791,0.2485929683365706
Qwen/Qwen3-30B-A3B-Thinking-2507,17,1.0,1.0,1.0,1000.0,0.006979112388848978,0.03522773088206149,0.986781562871675,327.9281262243756,1.348804592973868,4.440023698320858,1.0,0.15284266796165794,True,0.3352560915499273,0.63148460018037,0.866540657639825,0.8078748610791995,1000.0,1000.0,0.0029760747763569835,True,0.02272674314100624,0.99355846778997,0.01,131.7995871819539,0.0,0.1609380390785398,True,0.34643677916441806,0.5526485975261785
allenai/Olmo-3-32B-Think,18,1.0,1.0,1.0,1000.0,0.00023580002257505596,0.008865872817185066,0.9996743133535202,352.68029477424324,1.3479381536117205,4.466062755092239,1.0,0.152820196641187,True,0.34073252001322457,0.6955252657120449,1.3314391354592383,1.1579623374264671,1000.0,1000.0,2.934584531361669e-06,True,0.0009459598896355108,0.9999960723963127,0.01,153.00362456248203,0.0,0.15061461516199,True,0.3187836985279244,0.633488236130966
allenai/Olmo-3-32B-Think-DPO,17,1.0,1.0,1.0,1000.0,0.00020805884347194982,0.007822865713674413,0.9996985640323744,1000.0,1.3876357181907466,4.4449029546628385,1.0,0.15064790718100451,True,0.33510524251533264,0.6846631796259197,1.3180282079416537,1.1500978403344726,1000.0,1000.0,2.260607810933676e-06,True,0.000748846858685123,0.999996667574981,0.01,142.75070354050806,0.0,0.15516201732621157,True,0.32794138398894784,0.6181547067919413
allenai/Olmo-3-32B-Think-SFT,18,1.0,1.0,1.0,1000.0,0.00023580002257505596,0.008865872817185066,0.9996743133535202,303.05886882307493,1.3480107178185088,4.465759673817762,1.0,0.15282028844429035,True,0.34073485387105984,0.6955262698693782,1.3309026429820137,1.1575740469837863,1000.0,1000.0,2.934486205173822e-06,True,0.0009454553134195929,0.9999960725358521,0.01,153.00362456248203,0.0,0.15061461516199,True,0.3187836985279244,0.633488236130966
allenai/Olmo-3-7B-Instruct,18,1.0,1.0,1.0,13.405404656305285,0.060314664592691844,0.19990607462461296,0.5594219619355495,278.413662896703,1.3198242610611914,1.1481072961166439,1.0,0.06297756818588618,True,0.1984994083611984,0.5418220620252541,0.867509101179655,0.8150099789971327,0.1980334963755263,219.7402544613595,0.04170750130802704,True,0.17041137979784465,0.7265558731277477,0.01,62.14724920702634,0.0,0.06521072272327226,True,0.19590706306673275,0.5067825728221381
allenai/Olmo-3-7B-Instruct-DPO,18,1.0,1.0,1.0,13.580059116250967,0.062467826917647296,0.20626430670622609,0.5543943600790489,266.0889808719775,1.2745795707158274,1.186597923441471,1.0,0.06262160858805622,True,0.21052229822138152,0.5637917274044378,0.8681811661035027,0.8126241065748118,0.13044966789680176,300.7626416542806,0.031943538918157516,True,0.14023137958052218,0.8032872457237319,0.01,68.63089326369897,0.0,0.06383881120860382,True,0.21017471461876902,0.5400086336674509
allenai/Olmo-3-7B-Instruct-SFT,18,1.0,1.0,1.0,8.951879482063426,0.056501827868497854,0.1866486109079538,0.45979103259366316,298.3094622797167,1.1721694462232743,1.3327480395172238,1.0,0.05268033379389468,True,0.17545540711310195,0.4992479041347359,0.8689358489175543,0.8060472220765186,0.13571492597405166,318.23687373404084,0.023985924302321486,True,0.12479813795319651,0.8094972696652848,0.01,52.15309654234131,0.0,0.05511353204258704,True,0.18149996860313633,0.4812363926416424
allenai/Olmo-3-7B-Think,18,1.0,1.0,1.0,1000.0,0.0011038555781306117,0.01581031726162951,0.9978378440998368,374.7011057600551,1.345534963353496,4.31551624598907,1.0,0.15339245513156693,True,0.3464475341813887,0.6805832898414922,1.325726319936667,1.1535340546260768,1000.0,1000.0,0.0008709908006807589,True,0.007887659732666074,0.9983946762810104,0.01,148.5411941128321,0.0,0.1503447583617029,True,0.3190018004436266,0.6216080432989477
allenai/Olmo-3-7B-Think-DPO,18,1.0,1.0,1.0,1000.0,0.00023580002257505596,0.008865872817185066,0.9996743133535202,320.3928739936993,1.3479379818136072,4.466427886886273,1.0,0.15282023444635529,True,0.340729585714197,0.6955249939363379,1.3332646909920844,1.1598195413607801,1000.0,1000.0,2.934498769710361e-06,True,0.0009433139022626889,0.9999960725527405,0.01,153.00362456248203,0.0,0.15061461516199,True,0.3187836985279244,0.633488236130966
allenai/Olmo-3-7B-Think-SFT,18,1.0,1.0,1.0,1000.0,0.001121324457050839,0.020316471480650952,0.9977966958329675,318.39524711428174,1.3405928382024912,3.926150667173119,1.0,0.14388984366340699,True,0.3284981191134169,0.690783073206495,1.1692221724916845,1.0477063249305203,0.5138656259929716,1000.0,0.0006932594486168621,True,0.016004135429826944,0.9985363248697627,0.01,144.97677906023418,0.0,0.14149979432145723,True,0.3063392650984311,0.6316191040200007
meta-llama/Llama-3.2-3B-Instruct,18,1.0,1.0,1.0,0.010000000000005116,0.000998002080968881,0.012107497349847153,-0.19372255997771642,0.7569582302027426,0.7451010895149854,9.065627928239422,1.0,0.0009304837998642976,True,0.019813659250203234,0.29215253006666336,0.5759823748870223,0.6252339259250476,194.66339949166056,0.010116533335628113,0.0007713729629124063,True,0.014585037387454789,0.44507173451922144,0.01,371.56975805340164,355.8620611820541,0.0010038006713822018,True,0.012388735138546467,-0.19111886742897607
