Model,n_trials,sigma_m1,gamma_m1,lambda_m1,beta_m1,mse_m1,mae_m1,corr_m1,sigma_m2,gamma_m2,lambda_m2,beta_m2,mse_m2,success_m2,mae_m2,corr_m2,sigma_m3,gamma_m3,lambda_m3,beta_m3,mse_m3,success_m3,mae_m3,corr_m3,lam_m4,kappa_m4,alpha_m4,mse_m4,success_m4,mae_m4,corr_m4
Qwen/Qwen2.5-7B-Instruct,138,1.0,1.0,1.0,4.214725033521485,0.08793623275679505,0.22262502428330713,0.24289973389110833,1.2082422390831287,8.409819209330022,4.414878337896333,1.0,0.0639177020208473,True,0.1934227068380694,0.4894030951612931,1.5959710923184751,3.172935086399505,0.20763111400566908,18.816154275053492,0.05600046790530502,True,0.1859002800641007,0.5784303081840187,0.4661177494035622,0.0,1.1555379503257317,0.09154009498370347,True,0.21775026548560059,0.12646919864289394
Qwen/Qwen2.5-Math-7B-Instruct,137,1.0,1.0,1.0,2.4035111859437355,0.038592238476336756,0.15553317376002473,0.21070005349369442,0.01,0.47593246614818335,0.5233765158336731,1.0,0.0328946129896161,True,0.14586374273615949,0.420817928671335,0.5538914406009513,0.8750618090625438,0.12141073457979033,7.087453968210594,0.027497353457442607,True,0.1287391792435471,0.5352747907144987,0.01,0.0,2.232012565369888,0.04039514535364915,True,0.1588252505682487,-0.35915234878765273
Qwen/Qwen3-30B-A3B-Instruct-2507,138,1.0,1.0,1.0,5.915094296173418,0.053322300493858735,0.1786409131198198,0.38443523878851155,152.11472388380903,0.01,0.37832521068468233,1.0,0.057788398236950964,True,0.18612766050424118,0.23261453583470318,1.1138116288013238,0.8133460945911344,0.19442449067882145,16.688552420426493,0.04668176997265086,True,0.16477083684708985,0.49722241808747664,0.2715108069057618,86.34237932769572,524.462552738292,0.061695030571690346,True,0.18975017840655528,0.08747499611498398
Qwen/Qwen3-30B-A3B-Thinking-2507,67,1.0,1.0,1.0,241.1232653580165,0.037820755633609725,0.08451481474794356,0.9137849211223793,0.9745023313511306,0.8568169447304961,1000.0,1.0,0.11491904818108858,True,0.24821934776910942,0.725144890420378,0.9777111519258204,0.85442522688986,1.6678907670261132,913.4766239434028,0.023532877926254612,True,0.06913808038793177,0.9463054434150914,0.01,35.86890946445554,0.0,0.21403716806844575,True,0.4428250520506622,0.19921637317271057
allenai/Olmo-3-32B-Think,46,1.0,1.0,1.0,1000.0,0.03436781771735712,0.0571342409395076,0.9279472453991788,0.6802199605009684,1.4400778569659913,1000.0,1.0,0.12112832949217968,True,0.2395020235048378,0.7285651859058029,0.7637774711644014,1.3050239652558089,1000.0,405.54241843608645,0.023396443358895753,True,0.03568512360586013,0.9519449130334633,0.01,22.722078140694805,0.0,0.23358071463034302,True,0.4762680940665004,0.13813780189652974
allenai/Olmo-3-32B-Think-DPO,42,1.0,1.0,1.0,1000.0,0.0034660376152734727,0.017932925961262846,0.9935068532933026,0.5441611430608946,1.3756319285204222,1000.0,1.0,0.10072930208522089,True,0.22193492713346744,0.8049091123183455,0.9509828968385113,0.8804203489876632,0.6357402047607406,1000.0,0.0031666695956200364,True,0.021136957672508946,0.9935211110257629,0.02336715231846106,243.17760245116415,851.4193358170432,0.23561135503465272,True,0.48208003392411025,-0.001126698677626137
allenai/Olmo-3-32B-Think-SFT,53,1.0,1.0,1.0,1000.0,0.02776095339731509,0.05258684187057514,0.9455963314255502,0.4962242124533132,1.4526513821441598,631.5825046515877,1.0,0.10961044166105122,True,0.2452804272158378,0.773301634490845,0.950744454030766,0.8737440498159661,0.7799832363121272,1000.0,0.022832677397941863,True,0.045715216356797046,0.953597221262991,0.01,0.0,1.6556163922520433,0.22998319247846605,True,0.47577353106734527,-0.03269247282668315
allenai/Olmo-3-7B-Instruct,138,1.0,1.0,1.0,3.3157814914489103,0.022008386357037675,0.11624220831337373,0.3504567818116958,3.1951525740822673,1.4571227607150483,0.16237876455683597,1.0,0.02212006644181337,True,0.11729836926483841,0.36431130727281685,1.246387544074624,0.9922376768197793,0.26862502559633666,4.799348927368049,0.020334635217274702,True,0.11121526138662662,0.43745765936722164,0.42302783564806995,0.0,1.0275591804337332,0.02398256235070101,True,0.12359693246293516,0.2100725351354449
allenai/Olmo-3-7B-Instruct-DPO,138,1.0,1.0,1.0,1.7411908916253818,0.0217612303406857,0.11597518110523,0.19689719476886836,3.368262830834649,1.3281449137920758,0.02113470989796321,1.0,0.020092986359893268,True,0.11177115322783493,0.35408721113021024,188.02269088102508,1.0385357341399242,0.1744334432681249,0.6804039167122278,0.019273371830142837,True,0.11044727787559856,0.3885058498262715,0.39088517959879837,0.0,1.1722660460317613,0.021692781200829556,True,0.11653369998616529,0.20443446411633065
allenai/Olmo-3-7B-Instruct-SFT,138,1.0,1.0,1.0,1.03283476336478,0.02346740276779024,0.12622710215299687,0.11435808850977736,3.6002167309192803,1.3234352090519634,0.01,1.0,0.021377867833252667,True,0.12068087305325609,0.3499340707102578,166.3503329087363,1.0401334642857516,0.01,0.6965232633306752,0.02039454151130292,True,0.11760407167401492,0.3909592464723917,0.3403691751986529,0.0,1.1171471424257835,0.023060742946504315,True,0.12547891473839118,0.17373259744158656
